Source Name	Comment [ENA_SAMPLE]	Comment [BioSD_SAMPLE]	Comment [Sample_description]	Comment [Sample_source_name]	Comment [Sample_title]	Characteristics [organism]	Characteristics[organism part]	Characteristics[sex]	Characteristics[developmental stage]	Characteristics [cell type]	Characteristics [genotype]	Characteristics [single cell quality]	Characteristics [submitted single cell quality]	Material Type	Protocol REF	Protocol REF	Protocol REF	Protocol REF	Extract Name	Comment[single cell isolation]	Comment[input molecule]	Comment[library construction]	Comment[end bias]	Comment[primer]	Comment[spike in]	Comment[spike in dilution]	Comment [UMI barcode]	Comment[LIBRARY_STRAND]	Comment [LIBRARY_LAYOUT]	Comment [LIBRARY_SOURCE]	Comment [LIBRARY_STRATEGY]	Comment [LIBRARY_SELECTION]	Comment [INSTRUMENT_MODEL]	Protocol REF	Protocol REF	Assay Name	Comment[technical replicate group]	Technology Type	Comment [ENA_EXPERIMENT]	Comment [Platform_title]	Scan Name	Comment [ENA_RUN]	Comment [FASTQ_URI]	FactorValue[single cell identifier]	FactorValue [cell type]
GSM2669941 1	SRS2287057	SAMN07246133	Single cell processed data files: df_libs.csv, htseq.tab, STAR.tab	olfactory projection neuron innvervating DC2 glomerulus	91G04-GFP [N289Barcode_706-521]	Drosophila melanogaster	brain	mixed sex population	pupal stage	olfactory projection neuron innvervating DC2 glomerulus	91G04-GAL4	OK	1	cell	P-GSE100058-1	P-GSE100058-2	P-GSE100058-3	P-GSE100058-4	GSM2669941 extract 1	FACS	polyA RNA	smart-seq2	none	oligo-dT	none	not applicable	none	not applicable	PAIRED	transcriptomic	OTHER	other	Illumina NextSeq 4186	P-GSE100058-5	P-GSE100058-6	GSM2669941	not applicable	sequencing assay	SRX2921196	NextSeq 550 (Drosophila melanogaster)	SRR5686410_2.fastq.gz	SRR5686410	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR568/000/SRR5686410/SRR5686410_2.fastq.gz	N289Barcode_706-521	olfactory projection neuron innvervating DC2 glomerulus
GSM2669941 1	SRS2287057	SAMN07246133	Single cell processed data files: df_libs.csv, htseq.tab, STAR.tab	olfactory projection neuron innvervating DC2 glomerulus	91G04-GFP [N289Barcode_706-521]	Drosophila melanogaster	brain	mixed sex population	pupal stage	olfactory projection neuron innvervating DC2 glomerulus	91G04-GAL4	OK	1	cell	P-GSE100058-1	P-GSE100058-2	P-GSE100058-3	P-GSE100058-4	GSM2669941 extract 1	FACS	polyA RNA	smart-seq2	none	oligo-dT	none	not applicable	none	not applicable	PAIRED	transcriptomic	OTHER	other	Illumina NextSeq 4187	P-GSE100058-5	P-GSE100058-6	GSM2669941	not applicable	sequencing assay	SRX2921196	NextSeq 550 (Drosophila melanogaster)	SRR5686410_1.fastq.gz	SRR5686410	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR568/000/SRR5686410/SRR5686410_1.fastq.gz	N289Barcode_706-521	olfactory projection neuron innvervating DC2 glomerulus
GSM2669940 1	SRS2287053	SAMN07246134	Single cell processed data files: df_libs.csv, htseq.tab, STAR.tab	olfactory projection neuron innvervating DC2 glomerulus	91G04-GFP [N289Barcode_705-521]	Drosophila melanogaster	brain	mixed sex population	pupal stage	olfactory projection neuron innvervating DC2 glomerulus	91G04-GAL4	OK	1	cell	P-GSE100058-1	P-GSE100058-2	P-GSE100058-3	P-GSE100058-4	GSM2669940 extract 1	FACS	polyA RNA	smart-seq2	none	oligo-dT	none	not applicable	none	not applicable	PAIRED	transcriptomic	OTHER	other	Illumina NextSeq 4188	P-GSE100058-5	P-GSE100058-6	GSM2669940	not applicable	sequencing assay	SRX2921195	NextSeq 550 (Drosophila melanogaster)	SRR5686409_2.fastq.gz	SRR5686409	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR568/009/SRR5686409/SRR5686409_2.fastq.gz	N289Barcode_705-521	olfactory projection neuron innvervating DC2 glomerulus
GSM2669940 1	SRS2287053	SAMN07246134	Single cell processed data files: df_libs.csv, htseq.tab, STAR.tab	olfactory projection neuron innvervating DC2 glomerulus	91G04-GFP [N289Barcode_705-521]	Drosophila melanogaster	brain	mixed sex population	pupal stage	olfactory projection neuron innvervating DC2 glomerulus	91G04-GAL4	OK	1	cell	P-GSE100058-1	P-GSE100058-2	P-GSE100058-3	P-GSE100058-4	GSM2669940 extract 1	FACS	polyA RNA	smart-seq2	none	oligo-dT	none	not applicable	none	not applicable	PAIRED	transcriptomic	OTHER	other	Illumina NextSeq 4189	P-GSE100058-5	P-GSE100058-6	GSM2669940	not applicable	sequencing assay	SRX2921195	NextSeq 550 (Drosophila melanogaster)	SRR5686409_1.fastq.gz	SRR5686409	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR568/009/SRR5686409/SRR5686409_1.fastq.gz	N289Barcode_705-521	olfactory projection neuron innvervating DC2 glomerulus
GSM2669939 1	SRS2287052	SAMN07246135	Single cell processed data files: df_libs.csv, htseq.tab, STAR.tab	olfactory projection neuron innvervating DC2 glomerulus	91G04-GFP [N289Barcode_704-521]	Drosophila melanogaster	brain	mixed sex population	pupal stage	olfactory projection neuron innvervating DC2 glomerulus	91G04-GAL4	OK	1	cell	P-GSE100058-1	P-GSE100058-2	P-GSE100058-3	P-GSE100058-4	GSM2669939 extract 1	FACS	polyA RNA	smart-seq2	none	oligo-dT	none	not applicable	none	not applicable	PAIRED	transcriptomic	OTHER	other	Illumina NextSeq 4190	P-GSE100058-5	P-GSE100058-6	GSM2669939	not applicable	sequencing assay	SRX2921194	NextSeq 550 (Drosophila melanogaster)	SRR5686408_2.fastq.gz	SRR5686408	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR568/008/SRR5686408/SRR5686408_2.fastq.gz	N289Barcode_704-521	olfactory projection neuron innvervating DC2 glomerulus
GSM2669939 1	SRS2287052	SAMN07246135	Single cell processed data files: df_libs.csv, htseq.tab, STAR.tab	olfactory projection neuron innvervating DC2 glomerulus	91G04-GFP [N289Barcode_704-521]	Drosophila melanogaster	brain	mixed sex population	pupal stage	olfactory projection neuron innvervating DC2 glomerulus	91G04-GAL4	OK	1	cell	P-GSE100058-1	P-GSE100058-2	P-GSE100058-3	P-GSE100058-4	GSM2669939 extract 1	FACS	polyA RNA	smart-seq2	none	oligo-dT	none	not applicable	none	not applicable	PAIRED	transcriptomic	OTHER	other	Illumina NextSeq 4191	P-GSE100058-5	P-GSE100058-6	GSM2669939	not applicable	sequencing assay	SRX2921194	NextSeq 550 (Drosophila melanogaster)	SRR5686408_1.fastq.gz	SRR5686408	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR568/008/SRR5686408/SRR5686408_1.fastq.gz	N289Barcode_704-521	olfactory projection neuron innvervating DC2 glomerulus
GSM2669938 1	SRS2287051	SAMN07246136	Single cell processed data files: df_libs.csv, htseq.tab, STAR.tab	olfactory projection neuron innvervating DC2 glomerulus	91G04-GFP [N289Barcode_703-521]	Drosophila melanogaster	brain	mixed sex population	pupal stage	olfactory projection neuron innvervating DC2 glomerulus	91G04-GAL4	OK	1	cell	P-GSE100058-1	P-GSE100058-2	P-GSE100058-3	P-GSE100058-4	GSM2669938 extract 1	FACS	polyA RNA	smart-seq2	none	oligo-dT	none	not applicable	none	not applicable	PAIRED	transcriptomic	OTHER	other	Illumina NextSeq 4192	P-GSE100058-5	P-GSE100058-6	GSM2669938	not applicable	sequencing assay	SRX2921193	NextSeq 550 (Drosophila melanogaster)	SRR5686407_2.fastq.gz	SRR5686407	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR568/007/SRR5686407/SRR5686407_2.fastq.gz	N289Barcode_703-521	olfactory projection neuron innvervating DC2 glomerulus
GSM2669938 1	SRS2287051	SAMN07246136	Single cell processed data files: df_libs.csv, htseq.tab, STAR.tab	olfactory projection neuron innvervating DC2 glomerulus	91G04-GFP [N289Barcode_703-521]	Drosophila melanogaster	brain	mixed sex population	pupal stage	olfactory projection neuron innvervating DC2 glomerulus	91G04-GAL4	OK	1	cell	P-GSE100058-1	P-GSE100058-2	P-GSE100058-3	P-GSE100058-4	GSM2669938 extract 1	FACS	polyA RNA	smart-seq2	none	oligo-dT	none	not applicable	none	not applicable	PAIRED	transcriptomic	OTHER	other	Illumina NextSeq 4193	P-GSE100058-5	P-GSE100058-6	GSM2669938	not applicable	sequencing assay	SRX2921193	NextSeq 550 (Drosophila melanogaster)	SRR5686407_1.fastq.gz	SRR5686407	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR568/007/SRR5686407/SRR5686407_1.fastq.gz	N289Barcode_703-521	olfactory projection neuron innvervating DC2 glomerulus
GSM2669937 1	SRS2287050	SAMN07246137	Single cell processed data files: df_libs.csv, htseq.tab, STAR.tab	olfactory projection neuron innvervating DC2 glomerulus	91G04-GFP [N289Barcode_702-521]	Drosophila melanogaster	brain	mixed sex population	pupal stage	olfactory projection neuron innvervating DC2 glomerulus	91G04-GAL4	OK	1	cell	P-GSE100058-1	P-GSE100058-2	P-GSE100058-3	P-GSE100058-4	GSM2669937 extract 1	FACS	polyA RNA	smart-seq2	none	oligo-dT	none	not applicable	none	not applicable	PAIRED	transcriptomic	OTHER	other	Illumina NextSeq 4194	P-GSE100058-5	P-GSE100058-6	GSM2669937	not applicable	sequencing assay	SRX2921192	NextSeq 550 (Drosophila melanogaster)	SRR5686406_2.fastq.gz	SRR5686406	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR568/006/SRR5686406/SRR5686406_2.fastq.gz	N289Barcode_702-521	olfactory projection neuron innvervating DC2 glomerulus
GSM2669937 1	SRS2287050	SAMN07246137	Single cell processed data files: df_libs.csv, htseq.tab, STAR.tab	olfactory projection neuron innvervating DC2 glomerulus	91G04-GFP [N289Barcode_702-521]	Drosophila melanogaster	brain	mixed sex population	pupal stage	olfactory projection neuron innvervating DC2 glomerulus	91G04-GAL4	OK	1	cell	P-GSE100058-1	P-GSE100058-2	P-GSE100058-3	P-GSE100058-4	GSM2669937 extract 1	FACS	polyA RNA	smart-seq2	none	oligo-dT	none	not applicable	none	not applicable	PAIRED	transcriptomic	OTHER	other	Illumina NextSeq 4195	P-GSE100058-5	P-GSE100058-6	GSM2669937	not applicable	sequencing assay	SRX2921192	NextSeq 550 (Drosophila melanogaster)	SRR5686406_1.fastq.gz	SRR5686406	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR568/006/SRR5686406/SRR5686406_1.fastq.gz	N289Barcode_702-521	olfactory projection neuron innvervating DC2 glomerulus
